Stored: pid: 0, processName: process_0, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 1, processName: process_1, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Loaded: pid: 1, processName: process_1, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 2, processName: process_2, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 3, processName: process_3, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 4, processName: process_4, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 5, processName: process_5, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 6, processName: process_6, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 7, processName: process_7, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Loaded: pid: 2, processName: process_2, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 8, processName: process_8, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 9, processName: process_9, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 1, processName: process_1, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 10, processName: process_10, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 11, processName: process_11, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 12, processName: process_12, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Loaded: pid: 3, processName: process_3, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 13, processName: process_13, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 14, processName: process_14, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 2, processName: process_2, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 15, processName: process_15, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 16, processName: process_16, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 17, processName: process_17, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 18, processName: process_18, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Loaded: pid: 4, processName: process_4, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 19, processName: process_19, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 3, processName: process_3, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 20, processName: process_20, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 21, processName: process_21, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 22, processName: process_22, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 23, processName: process_23, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 24, processName: process_24, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Loaded: pid: 5, processName: process_5, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 25, processName: process_25, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 4, processName: process_4, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 26, processName: process_26, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 27, processName: process_27, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 28, processName: process_28, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 29, processName: process_29, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Loaded: pid: 6, processName: process_6, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 30, processName: process_30, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 31, processName: process_31, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 5, processName: process_5, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 32, processName: process_32, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 33, processName: process_33, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 34, processName: process_34, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Loaded: pid: 7, processName: process_7, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 35, processName: process_35, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 36, processName: process_36, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 6, processName: process_6, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 37, processName: process_37, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 38, processName: process_38, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 39, processName: process_39, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Loaded: pid: 8, processName: process_8, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 40, processName: process_40, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 41, processName: process_41, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 7, processName: process_7, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 42, processName: process_42, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 43, processName: process_43, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 44, processName: process_44, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Loaded: pid: 9, processName: process_9, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 45, processName: process_45, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 46, processName: process_46, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 8, processName: process_8, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 47, processName: process_47, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 9, processName: process_9, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 48, processName: process_48, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Loaded: pid: 1, processName: process_1, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
