Stored: pid: 0, processName: process_0, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1069, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 1, processName: process_1, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1017, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 2, processName: process_2, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1354, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 3, processName: process_3, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1077, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 4, processName: process_4, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1037, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 6, processName: process_6, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1476, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 8, processName: process_8, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1473, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Loaded: pid: 0, processName: process_0, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1069, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 9, processName: process_9, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1268, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 10, processName: process_10, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1333, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Loaded: pid: 1, processName: process_1, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1017, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 11, processName: process_11, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1910, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Loaded: pid: 2, processName: process_2, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1354, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 12, processName: process_12, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1901, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Loaded: pid: 3, processName: process_3, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1077, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 13, processName: process_13, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1769, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 14, processName: process_14, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1810, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 0, processName: process_0, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1069, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 15, processName: process_15, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1742, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 2, processName: process_2, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1354, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 16, processName: process_16, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1974, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 17, processName: process_17, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1487, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 19, processName: process_19, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1853, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 22, processName: process_22, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1984, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 4, processName: process_4, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1037, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 24, processName: process_24, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1882, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 26, processName: process_26, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1202, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 27, processName: process_27, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1997, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 8, processName: process_8, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1473, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 28, processName: process_28, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1948, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 6, processName: process_6, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1476, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 30, processName: process_30, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1413, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 9, processName: process_9, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1268, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 31, processName: process_31, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1000, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 8, processName: process_8, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1473, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 33, processName: process_33, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1618, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 9, processName: process_9, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1268, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 34, processName: process_34, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1089, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 35, processName: process_35, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1255, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 37, processName: process_37, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1990, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 38, processName: process_38, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1036, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 39, processName: process_39, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1256, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 40, processName: process_40, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1357, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 41, processName: process_41, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1311, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 11, processName: process_11, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1910, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Loaded: pid: 10, processName: process_10, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1333, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 44, processName: process_44, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1378, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 12, processName: process_12, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1901, currentLineOfInstruction: 16, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 45, processName: process_45, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1178, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 47, processName: process_47, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1593, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 11, processName: process_11, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1910, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Loaded: pid: 13, processName: process_13, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1769, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 10, processName: process_10, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1333, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 48, processName: process_48, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1890, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 50, processName: process_50, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1639, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 51, processName: process_51, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1155, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 52, processName: process_52, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1613, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 54, processName: process_54, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1338, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 55, processName: process_55, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1027, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 13, processName: process_13, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1769, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 60, processName: process_60, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1597, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 14, processName: process_14, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1810, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 61, processName: process_61, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1643, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 62, processName: process_62, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1286, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 16, processName: process_16, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1974, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 63, processName: process_63, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1367, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 15, processName: process_15, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1742, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 64, processName: process_64, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1684, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 66, processName: process_66, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1968, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 68, processName: process_68, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1690, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 17, processName: process_17, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1487, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 69, processName: process_69, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1999, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 14, processName: process_14, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1810, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 16, processName: process_16, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1974, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 15, processName: process_15, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1742, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 71, processName: process_71, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1951, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 73, processName: process_73, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1232, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 0, processName: process_0, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1069, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 17, processName: process_17, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1487, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 19, processName: process_19, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1853, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 75, processName: process_75, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1516, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 77, processName: process_77, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1697, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 2, processName: process_2, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1354, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 0, processName: process_0, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1069, currentLineOfInstruction: 48, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 78, processName: process_78, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1343, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 2, processName: process_2, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1354, currentLineOfInstruction: 48, startTime: 1755609840, assignedCPUID: -1
Loaded: pid: 22, processName: process_22, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1984, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 79, processName: process_79, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1520, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 80, processName: process_80, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1227, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 81, processName: process_81, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1984, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 84, processName: process_84, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1215, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 86, processName: process_86, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1217, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 88, processName: process_88, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1453, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Loaded: pid: 24, processName: process_24, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1882, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 89, processName: process_89, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1704, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Loaded: pid: 26, processName: process_26, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1202, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 91, processName: process_91, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1631, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Loaded: pid: 27, processName: process_27, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1997, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 93, processName: process_93, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1872, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 24, processName: process_24, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1882, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 94, processName: process_94, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1386, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 96, processName: process_96, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1059, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 97, processName: process_97, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1653, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 102, processName: process_102, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1822, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 103, processName: process_103, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1020, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Loaded: pid: 28, processName: process_28, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1948, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 104, processName: process_104, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1051, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 105, processName: process_105, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1330, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 27, processName: process_27, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1997, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 107, processName: process_107, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1684, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 111, processName: process_111, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1053, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 114, processName: process_114, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1465, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 115, processName: process_115, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1228, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Loaded: pid: 30, processName: process_30, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1413, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 116, processName: process_116, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1580, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Loaded: pid: 31, processName: process_31, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1000, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 117, processName: process_117, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1629, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 118, processName: process_118, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1204, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 30, processName: process_30, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1413, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 33, processName: process_33, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1618, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 119, processName: process_119, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1225, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 120, processName: process_120, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1345, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 31, processName: process_31, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1000, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 121, processName: process_121, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1638, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Loaded: pid: 34, processName: process_34, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1089, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 122, processName: process_122, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1461, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 123, processName: process_123, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1184, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 125, processName: process_125, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1070, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 34, processName: process_34, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1089, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 127, processName: process_127, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1503, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 128, processName: process_128, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1455, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 130, processName: process_130, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1046, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
